nct_id,pmid
NCT01752634,26135703
NCT01721044,27028914
NCT00783718,27639327
NCT01606761,28215362
NCT01458574,28467869
NCT01860976,28473423
NCT01458574,29028981
NCT01752634,29409133
NCT01369355,29797519
NCT00783692,29857145
NCT01752634,29880010
NCT02159053,30121827
NCT01860976,30522501
NCT01358175,27390130
NCT01392326,26422723
NCT01232569,24942540
NCT01989468,29544534
NCT01224171,24859203
NCT01458951,30012431
NCT00970632,22297243
NCT00251706,16380589
NCT00216619,17988947
NCT00099788,20385930
NCT01035255,26915374
NCT01370005,27977392
NCT00077779,19201775
NCT01261325,26471380
NCT00464269,28279891
NCT00490035,28279891
NCT01261325,28279891
NCT00740623,21320109
NCT01262677,24962242
NCT00318422,24561125
NCT01321255,16905022
NCT00410384,22337213
NCT00782210,24966672
NCT00793624,25045258
NCT00308347,12860578
NCT01425359,23500237
NCT00000476,16053964
NCT01081834,25329038
NCT00831441,26271059
NCT01156571,30871355
NCT00970489,30571332
NCT00092703,17304660
NCT00092742,17965424
NCT00399724,17980928
NCT00327015,19515181
NCT00813995,22672586
NCT01370005,25271206
NCT01590771,27502307
NCT01897532,30418475
NCT00399711,19476470
NCT00399711,19531054
NCT02104804,29144061
NCT01455857,29242349
NCT00152425,17634459
NCT00265096,22378566
NCT00814307,25047021
NCT00265096,25779603
NCT00152386,26238672
NCT01519791,27165179
NCT01721057,28405473
NCT01695239,29299340
NCT00071331,23743487
NCT00087529,19847908
NCT00977938,28228427
NCT00814307,22873530
NCT00814307,26275429
NCT01212770,26792812
NCT01087788,30191421
NCT01721057,27689735
NCT01710358,29463520
NCT00090298,17022864
NCT01763918,25282519
NCT00287716,27708114
NCT00368979,19674165
NCT00000542,24283598
NCT00338260,16139123
NCT00377637,22087680
NCT01396395,27657471
NCT00526474,25465417
NCT00526474,26338971
NCT00977938,27576774
NCT00063687,18549913
NCT00464269,29414542
NCT00274079,17605774
NCT00463567,20463178
NCT00463866,21586508
NCT00077779,21645018
NCT00487539,23735746
NCT01431274,25573406
NCT01285323,25736990
NCT00144339,30290801
NCT01313676,30815468
NCT00439647,23113482
NCT00074542,18398081
NCT00393991,23078148
NCT00133003,14506118
NCT00385138,19915222
NCT00968708,28246236
NCT01691521,27087007
NCT02347774,28838685
NCT02149199,29768149
NCT00094302,28359411
NCT00328692,18926433
NCT00283335,12456232
NCT00954447,25629790
NCT02531035,28899222
NCT02460978,30026335
NCT02268214,30352894
NCT01590797,27740719
NCT00501020,12803733
NCT00286468,19125778
NCT00313001,19210140
NCT00286494,19650752
NCT00722371,23909985
NCT01606007,25352655
NCT01392677,25592197
NCT01106677,25795432
NCT00279201,25881510
NCT01617434,26179619
NCT01107886,26524706
NCT01081834,27977934
NCT02036515,28921862
NCT02414958,30287422
NCT01179048,30392095
NCT01850615,30547388
NCT02791490,30609212
NCT00885352,23116881
NCT01472185,26049552
NCT00147758,18458145
NCT00395512,20724648
NCT00145925,21509444
NCT01233622,24199686
NCT01023581,24400655
NCT01177813,24622369
NCT01175811,25754414
NCT02058160,29143919
NCT01809327,26786577
NCT00147719,18852398
NCT02738879,30393950
NCT02421510,29937431
NCT01032629,25468945
NCT01175824,26934128
NCT01291641,9603532
NCT01291641,9848888
NCT01291641,9892586
NCT00092560,15781429
NCT00047424,18398080
NCT00231738,18667204
NCT00327418,18972097
NCT00092157,19660610
NCT00462748,20487050
NCT00092586,23040830
NCT01081834,24918789
NCT01507831,28391886
NCT01179048,30354517
NCT02739984,30953107
NCT00092599,15899106
NCT00110435,19508464
NCT01813422,30336824
NCT00276484,21118495
NCT00440050,21045096
NCT00000558,24727254
NCT00206310,19917888
NCT00900146,23129601
NCT01185938,25523533
NCT00968708,29064626
NCT01358175,30564451
NCT01350804,28217871
NCT00264537,23861303
NCT00308347,18094675
NCT01484496,29671280
NCT00299104,20937671
NCT01914757,29409951
NCT00094302,26374849
NCT00634309,29431256
NCT00000542,19001024
NCT01335464,27672117
NCT00391443,21474646
NCT01086384,24253831
NCT02276222,30584583
NCT02347774,30587959
NCT00144339,22432932
NCT01369329,29909019
NCT00000558,16801465
NCT00000542,18676075
NCT00102440,22052584
NCT00174915,22052584
NCT00430248,22052584
NCT00000542,22490878
NCT01159600,23963895
NCT01107886,25552421
NCT01512979,27684308
NCT00790205,27742728
NCT01131676,28904068
NCT01032629,29941478
NCT00591773,30175930
NCT00145925,30571562
NCT00099918,17259484
NCT00268216,19443528
NCT00321984,23451835
NCT01272219,26132939
NCT01272219,28237263
NCT01368081,28753486
NCT00143221,18597830
NCT00286442,19125992
NCT00286429,19758359
NCT00154219,21607551
NCT00318461,21883438
NCT00622284,22748821
NCT01798706,28188240
NCT00170950,23219284
NCT00102765,20429821
NCT00764725,28879052
NCT01272219,26833744
NCT00353912,19190658
NCT00094302,29148144
NCT00993109,23134522
NCT00425997,21974760
NCT00000530,11104295
NCT00273299,18593517
NCT00000479,11442551
NCT01543555,18479744
NCT00133692,25835002
NCT01329029,28679611
NCT01776424,30654882
NCT01156571,26400827
NCT00174759,20678878
NCT00393458,21227674
NCT00336336,21315217
NCT00338260,15103313
NCT00000479,15590586
NCT01291641,7997016
NCT00338260,18259029
NCT00144339,20418083
NCT00413049,20469975
NCT00077753,20621900
NCT00386100,21682834
NCT00211705,21815708
NCT00000542,25455006
NCT00000479,25475110
NCT01081834,26373629
NCT00091949,27935736
NCT01347580,28939567
NCT01179048,29279300
NCT00977938,30354781
NCT01444430,27579635
NCT00679380,23436336
NCT00000530,10789602
NCT00397657,12505224
NCT00145925,19225038
NCT00680953,24646104
NCT02099110,29266675
NCT00000476,12409542
NCT01696110,26762481
NCT00279045,18223031
NCT00000542,23529173
NCT00046254,23812596
NCT00145925,19688336
NCT00249873,20979470
NCT00308347,18199798
NCT00133692,18615004
NCT00000542,22470539
NCT00235014,23733198
NCT00256204,27190009
NCT00375388,29790415
NCT00120289,30371334
NCT00000542,30590387
NCT00106574,22491018
NCT02033889,30614616
NCT00091793,18381571
NCT00403910,21939839
NCT00000609,24727258
NCT00094302,28637881
NCT03021343,27502857
NCT00308347,16572114
NCT00000542,17846352
NCT00290927,19614946
NCT00439738,22248871
NCT00649389,22799613
NCT01365455,25354738
NCT01032629,26121561
NCT01081834,26579834
NCT01272219,26744025
NCT01177384,28035868
NCT00094302,29664406
NCT01009580,30474818
NCT01059812,30474818
NCT01228747,30525116
NCT00377637,19933596
NCT01336023,28332144
NCT00090103,21502969
NCT00121667,21680990
NCT00570739,22913890
NCT00602472,23672632
NCT00856544,30425195
NCT01335464,30729456
NCT01458574,29743836
NCT01578850,30200078
NCT01081834,27600862
NCT00090103,18813219
NCT01358175,28544533
NCT00000542,15811979
NCT00333151,26936426
NCT00696384,25619410
NCT00398931,15883637
NCT00133003,17060377
NCT00327418,17065671
NCT00099905,17878242
NCT00211705,18172039
NCT00099944,18284434
NCT00219154,19139391
NCT00171002,19751115
NCT01031680,25852208
NCT00454662,26066644
NCT00464269,27589414
NCT00490035,27589414
NCT01261325,27589414
NCT00000542,28531241
NCT01156571,28801539
NCT00092651,16860168
NCT00602472,21781152
NCT00698646,21974759
NCT00734474,27161178
NCT01081834,24742013
NCT00133692,20670726
NCT00527943,27502866
NCT00365170,17392541
NCT00286429,19793357
NCT01392573,30383495
NCT02054897,29687620
NCT00279201,19929994
NCT00268216,21627828
NCT00094302,25406305
NCT01086384,26704701
NCT01035255,27354044
NCT01914757,29128192
NCT00963599,12086367
NCT02104804,22081481
NCT01710358,29680881
NCT00418834,24411003
NCT01597245,26072109
NCT00712673,27267268
NCT00153062,22738922
NCT01674647,25182247
NCT00202878,29903515
NCT00206310,21216833
