pmid,page,tabletype,tabletype_details,tid
16709304,4,TableTidier,result_table_subgroup,1128
17398308,2,TableTidier,result_table_subgroup,1768
17560879,1,TableTidier,result_table_subgroup,784
21816478,2,TableTidier,result_table_subgroup,945
26886418,2,TableTidier,result_table_subgroup,1567
27465265,2,TableTidier,result_table_subgroup,631
28844192,2,TableTidier,result_table_subgroup,1236
29132880,2,TableTidier,result_table_subgroup,1279
27846344,2,TableTidier,result_table_subgroup,998
8121459,2,TableTidier,result_table_subgroup,1656
10438259,2,TableTidier,result_table_subgroup,746
11527638,1,TableTidier,result_table_subgroup,1826
17244641,2,TableTidier,result_table_subgroup,324
18375982,2,TableTidier,result_table_subgroup,1450
18499565,2,TableTidier,result_table_subgroup,1046
18657652,2,TableTidier,result_table_subgroup,1093
19332467,2,TableTidier,result_table_subgroup,1124
20400762,1,TableTidier,result_table_subgroup,642
20582594,2,TableTidier,result_table_subgroup,1274
20685748,2,TableTidier,result_table_subgroup,1512
23473396,2,TableTidier,result_table_subgroup,262
24780614,3,TableTidier,result_table_subgroup,520
25161043,2,TableTidier,result_table_subgroup,362
25175921,2,TableTidier,result_table_subgroup,1446
25175921,3,TableTidier,result_table_subgroup,1240
27144849,2,TableTidier,result_table_subgroup,166
27144849,4,TableTidier,result_table_subgroup,1122
27144849,5,TableTidier,result_table_subgroup,1108
28882235,3,TableTidier,result_table_subgroup,112
29132879,2,TableTidier,result_table_subgroup,1349
29132879,3,TableTidier,result_table_subgroup,481
29132879,4,TableTidier,result_table_subgroup,1040
29151034,2,TableTidier,result_table_subgroup,1822
30882239,2,TableTidier,result_table_subgroup,1094
30882239,4,TableTidier,result_table_subgroup,1266
30882239,5,TableTidier,result_table_subgroup,255
15451146,2,TableTidier,result_table_subgroup,957
12899584,2,TableTidier,result_table_subgroup,1333
25046337,2,TableTidier,result_table_subgroup,108
28231942,2,TableTidier,result_table_subgroup,623
30865796,2,TableTidier,result_table_subgroup,1586
12601075,2,TableTidier,result_table_subgroup,4
19332455,2,TableTidier,result_table_subgroup,1348
